# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_lambda         15:(.)rho_ur             16:(.)rho_crit           17:gr.fac. D             18:gr.fac. f          
       1.000000000000e+14       7.558504534545e-26       4.634785000235e-09       2.157545689084e+22       1.415326394590e+04       1.415326394590e-10       1.415326394590e+18       2.675958484266e-09       2.751560535470e+44       2.492336125560e+33       1.334388572520e+34       6.331470950076e+43       2.110490316692e+43       3.463310090800e-08       1.270295769850e+44       4.655003400485e+44       5.591760415012e-20       2.000000000000e+14 
       9.930486593843e+13       7.664693964751e-26       4.667526809499e-09       2.127654274186e+22       1.415326394590e+04       1.425233679352e-10       1.405487978739e+18       2.694690193656e-09       2.675846458098e+44       2.440721353921e+33       1.306754193376e+34       6.157249276517e+43       2.052416425506e+43       3.463310090800e-08       1.235341324558e+44       4.526912710463e+44       7.801192152357e-08       1.433565615564e+02 
       9.861456399050e+13       7.772375250262e-26       4.700268618762e-09       2.098176985714e+22       1.415326394590e+04       1.435210315108e-10       1.395717953068e+18       2.713553025011e-09       2.602215788102e+44       2.390175492942e+33       1.279692105487e+34       5.987821621879e+43       1.995940540626e+43       3.463310090800e-08       1.201348712939e+44       4.402346663381e+44       1.560238430471e-07       7.167828077820e+01 
       9.792906056653e+13       7.881569350153e-26       4.733010428026e-09       2.069108086211e+22       1.415326394590e+04       1.445256787314e-10       1.386015842172e+18       2.732547896186e-09       2.530611196824e+44       2.340676406129e+33       1.253190457048e+34       5.823056070214e+43       1.941018690071e+43       3.463310090800e-08       1.168291468431e+44       4.281208272425e+44       2.340357645706e-07       4.778552051880e+01 
       9.724832231036e+13       7.992297517953e-26       4.765752237290e-09       2.040441917710e+22       1.415326394590e+04       1.455373584825e-10       1.376381173955e+18       2.751675731460e-09       2.460976933110e+44       2.292202415425e+33       1.227237641696e+34       5.662824335475e+43       1.887608111825e+43       3.463310090800e-08       1.136143852744e+44       4.163403219547e+44       3.120476860940e-07       3.583914038910e+01 
       9.657231609767e+13       8.104581305783e-26       4.800313035958e-09       2.012172900629e+22       1.415326394590e+04       1.465561199919e-10       1.366813479598e+18       2.770937461580e-09       2.393258779894e+44       2.244732291709e+33       1.201822293432e+34       5.507001661632e+43       1.835667220544e+43       3.463310090800e-08       1.104880835826e+44       4.048839782026e+44       3.900596076175e-07       2.867131231128e+01 
       9.590100903443e+13       8.218442568548e-26       4.833054845221e-09       1.984295532690e+22       1.415326394590e+04       1.475820128318e-10       1.357312293543e+18       2.790334023811e-09       2.327404011992e+44       2.198245245504e+33       1.176933281637e+34       5.355466725541e+43       1.785155575180e+43       3.463310090800e-08       1.074478076369e+44       3.937428761055e+44       4.680715291410e-07       2.389276025940e+01 
       9.523436845525e+13       8.333903468193e-26       4.867615643889e-09       1.956804387846e+22       1.415326394590e+04       1.486150869216e-10       1.347877153468e+18       2.809866361977e-09       2.263361355047e+44       2.152720917871e+33       1.152559706202e+34       5.208101542478e+43       1.736033847493e+43       3.463310090800e-08       1.044911902862e+44       3.829083412293e+44       5.460834506644e-07       2.047950879377e+01 
       9.457236192179e+13       8.450986478018e-26       4.900357453153e-09       1.929694115221e+22       1.415326394590e+04       1.496553925301e-10       1.338507600267e+18       2.829535426511e-09       2.201080945604e+44       2.108139371490e+33       1.128690892752e+34       5.064791374280e+43       1.688263791427e+43       3.463310090800e-08       1.016159295154e+44       3.723719378320e+44       6.240953721879e-07       1.791957019455e+01 
       9.391495722125e+13       8.569714387047e-26       4.934918251820e-09       1.902959438076e+22       1.415326394590e+04       1.507029802778e-10       1.329203178020e+18       2.849342174497e-09       2.140514292293e+44       2.064481081933e+33       1.105316387972e+34       4.925424640007e+43       1.641808213336e+43       3.463310090800e-08       9.881978665382e+43       3.621254622963e+44       7.021072937113e-07       1.592850683960e+01 
