# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.370082670066e-10       4.143044315370e-15       3.518403108760e-13       0.000000000000e+00       8.190066626202e-09       4.463449183428e-10      -1.838065826002e-12 
    3       1.297658455456e-10       5.302667772698e-15       3.948753733170e-13       0.000000000000e+00       5.069003423562e-09       3.167084799471e-10      -1.390123408704e-12 
    4       1.228961495226e-10       4.578539088709e-15       3.687931405016e-13       0.000000000000e+00       3.526350986725e-09       2.397512903682e-10      -9.089485132919e-13 
    5       1.177508053819e-10       3.048711359866e-15       3.137393809685e-13       0.000000000000e+00       2.629882254645e-09       1.892867996055e-10      -5.045132920215e-13 
    6       1.142304921874e-10       1.701696328095e-15       2.524179157728e-13       0.000000000000e+00       2.052465596253e-09       1.539379951206e-10      -2.069907962187e-13 
    7       1.119490649706e-10       9.185165737303e-16       1.980148216524e-13       0.000000000000e+00       1.655317934959e-09       1.280194850904e-10      -1.767311480617e-14 
    8       1.106320737519e-10       5.923474360999e-16       1.562608787022e-13       0.000000000000e+00       1.368000306763e-09       1.083857378981e-10       7.853049301932e-14 
    9       1.100346996564e-10       4.749453760111e-16       1.283765586755e-13       0.000000000000e+00       1.151908710679e-09       9.316304762144e-11       1.050274952668e-13 
   10       1.099344920301e-10       4.041589646380e-16       1.130295196180e-13       0.000000000000e+00       9.846303656028e-10       8.111233042464e-11       8.768775960368e-14 
   11       1.102709156373e-10       3.395330843469e-16       1.075146990747e-13       0.000000000000e+00       8.295294391044e-10       7.168338255730e-11       5.059805373140e-14 
   12       1.108984186821e-10       2.963008551574e-16       1.087940070803e-13       0.000000000000e+00       7.246997866255e-10       6.338338801033e-11       1.124188776563e-14 
   13       1.117670914322e-10       2.847675861097e-16       1.141926674947e-13       0.000000000000e+00       6.386540306348e-10       5.664394597380e-11      -1.849707546903e-14 
   14       1.128266466114e-10       2.968447356770e-16       1.216561894485e-13       0.000000000000e+00       5.670731288588e-10       5.076265367785e-11      -3.450899951109e-14 
   15       1.140681795465e-10       3.212346290571e-16       1.299079712650e-13       0.000000000000e+00       5.068275782830e-10       4.582466941435e-11      -3.710433493194e-14 
   16       1.154205692136e-10       3.557764287009e-16       1.383489697051e-13       0.000000000000e+00       4.556108752219e-10       4.157515595552e-11      -3.031839633523e-14 
   17       1.169061647126e-10       4.059136098655e-16       1.467371341002e-13       0.000000000000e+00       4.116808973276e-10       3.787115531531e-11      -1.935144061847e-14 
   18       1.184643740988e-10       4.769470053428e-16       1.552825348056e-13       0.000000000000e+00       3.735563400081e-10       3.463838585925e-11      -9.041747682712e-15 
   19       1.201065180401e-10       5.691589351431e-16       1.642249426899e-13       0.000000000000e+00       3.406317631044e-10       3.183197044161e-11      -1.907652958338e-15 
   20       1.218239915310e-10       6.805281172820e-16       1.737417291738e-13       0.000000000000e+00       3.116365040781e-10       2.934398855890e-11       4.496116051650e-16 
   21       1.236195999623e-10       8.104054997678e-16       1.837672406140e-13       0.000000000000e+00       2.861144726400e-10       2.712890488245e-11      -1.349848073268e-15 
   22       1.254692641205e-10       9.583183192885e-16       1.940821282384e-13       0.000000000000e+00       2.634546706464e-10       2.512839707649e-11      -5.532256674625e-15 
   23       1.273763949922e-10       1.124547171859e-15       2.043767800795e-13       0.000000000000e+00       2.433451793053e-10       2.333137544376e-11      -1.038302064689e-14 
   24       1.293325679685e-10       1.309426430159e-15       2.142654712734e-13       0.000000000000e+00       2.253206888644e-10       2.171969827347e-11      -1.410107015048e-14 
   25       1.313417681969e-10       1.513062930886e-15       2.234389046800e-13       0.000000000000e+00       2.091688719152e-10       2.027646402742e-11      -1.590552889292e-14 
   26       1.333955823258e-10       1.735721070574e-15       2.316210760113e-13       0.000000000000e+00       1.945970598256e-10       1.897057096349e-11      -1.550870698079e-14 
   27       1.354870545541e-10       1.979392970330e-15       2.387273401612e-13       0.000000000000e+00       1.814301746370e-10       1.778381386157e-11      -1.353417897712e-14 
   28       1.376013158912e-10       2.246587355063e-15       2.447578587467e-13       0.000000000000e+00       1.694409369578e-10       1.669473625378e-11      -1.097735688565e-14 
   29       1.397477427320e-10       2.538723191916e-15       2.497681297288e-13       0.000000000000e+00       1.585679875436e-10       1.570148777254e-11      -8.473982094249e-15 
   30       1.419323483502e-10       2.856862363481e-15       2.538639967118e-13       0.000000000000e+00       1.486944518014e-10       1.479960849544e-11      -6.658433235454e-15 
   31       1.441506961090e-10       3.202013575170e-15       2.571566274932e-13       0.000000000000e+00       1.396187663721e-10       1.397600674295e-11      -6.112833209666e-15 
   32       1.464056224080e-10       3.575138598348e-15       2.596072052331e-13       0.000000000000e+00       1.312939561286e-10       1.322177252163e-11      -6.652250978346e-15 
   33       1.486934715983e-10       3.977137009894e-15       2.611235742159e-13       0.000000000000e+00       1.236610378967e-10       1.252242659228e-11      -7.758651423619e-15 
   34       1.510037755094e-10       4.408856226652e-15       2.615961887017e-13       0.000000000000e+00       1.166130588250e-10       1.186029586211e-11      -8.856859085688e-15 
   35       1.533391148839e-10       4.871155131908e-15       2.608883990385e-13       0.000000000000e+00       1.101138715950e-10       1.123750761056e-11      -9.675717150955e-15 
   36       1.557004860282e-10       5.364853882877e-15       2.588401361955e-13       0.000000000000e+00       1.041112656266e-10       1.066030590031e-11      -1.000512330835e-14 
   37       1.580845411580e-10       5.890724184236e-15       2.553035021669e-13       0.000000000000e+00       9.852703702352e-11       1.013204086440e-11      -9.677969783659e-15 
   38       1.604950357195e-10       6.449529570973e-15       2.502616692915e-13       0.000000000000e+00       9.334672043144e-11       9.650799617468e-12      -8.842137705870e-15 
   39       1.629340146893e-10       7.041991579460e-15       2.437497884684e-13       0.000000000000e+00       8.855384928984e-11       9.210480004405e-12      -7.782072982624e-15 
   40       1.653980091706e-10       7.668774245427e-15       2.358248580792e-13       0.000000000000e+00       8.410266225450e-11       8.801012978688e-12      -6.851744997001e-15 
   41       1.678810508159e-10       8.330508556895e-15       2.265427020728e-13       0.000000000000e+00       7.993403752552e-11       8.411419048878e-12      -6.381997252832e-15 
   42       1.703862837752e-10       9.027884248290e-15       2.158767083781e-13       0.000000000000e+00       7.603567658977e-11       8.040947042492e-12      -6.355539317728e-15 
   43       1.729171606559e-10       9.761581683769e-15       2.037748653148e-13       0.000000000000e+00       7.239721172994e-11       7.691020311566e-12      -6.633706005194e-15 
   44       1.754738521419e-10       1.053224457717e-14       1.901814806523e-13       0.000000000000e+00       6.899214699769e-11       7.362084168568e-12      -7.042310988016e-15 
   45       1.780546705257e-10       1.134045774268e-14       1.750416703456e-13       0.000000000000e+00       6.578731662950e-11       7.053776584992e-12      -7.410219820359e-15 
   46       1.806616281227e-10       1.218667657488e-14       1.583172552800e-13       0.000000000000e+00       6.277765750510e-11       6.765711319520e-12      -7.703995209917e-15 
   47       1.832959773287e-10       1.307127348302e-14       1.399750176921e-13       0.000000000000e+00       5.995964852557e-11       6.496777198144e-12      -7.929770025489e-15 
   48       1.859563761068e-10       1.399455367600e-14       1.199822010684e-13       0.000000000000e+00       5.732082305877e-11       6.244826254421e-12      -8.096121060528e-15 
   49       1.886386579047e-10       1.495675221725e-14       9.830643661336e-14       0.000000000000e+00       5.483910381468e-11       6.006599506464e-12      -8.214221036462e-15 
   50       1.913380836595e-10       1.595804521025e-14       7.491677235349e-14       0.000000000000e+00       5.248944827420e-11       5.778663266588e-12      -8.298405739369e-15 
   51       1.940573522442e-10       1.699859376684e-14       4.978726035876e-14       0.000000000000e+00       5.026745460174e-11       5.560689886710e-12      -8.367704266057e-15 
   52       1.968003666541e-10       1.807850688285e-14       2.289421612752e-14       0.000000000000e+00       4.817101358209e-11       5.352939235185e-12      -8.444986893034e-15 
   53       1.995698313675e-10       1.919782612458e-14      -5.784820076750e-15       0.000000000000e+00       4.619324461141e-11       5.155299960520e-12      -8.556753716040e-15 
   54       2.023671390673e-10       2.035652334870e-14      -3.627110486858e-14       0.000000000000e+00       4.432217459865e-11       4.967262822843e-12      -8.733306189046e-15 
   55       2.051928598749e-10       2.155453663846e-14      -6.858248026493e-14       0.000000000000e+00       4.254438828589e-11       4.788156403940e-12      -8.999023816829e-15 
   56       2.080486108878e-10       2.279189379002e-14      -1.027260463374e-13       0.000000000000e+00       4.085777672809e-11       4.617983902728e-12      -9.339972653886e-15 
   57       2.109354526584e-10       2.406861550895e-14      -1.387037061992e-13       0.000000000000e+00       3.926139338003e-11       4.456747505721e-12      -9.728550525307e-15 
   58       2.138532395232e-10       2.538467910767e-14      -1.765141757044e-13       0.000000000000e+00       3.775159740339e-11       4.304188133430e-12      -1.013246754919e-14 
   59       2.168005297980e-10       2.674001771426e-14      -2.161529180862e-13       0.000000000000e+00       3.632188729879e-11       4.159768994379e-12      -1.051453216216e-14 
   60       2.197744959738e-10       2.813451948129e-14      -2.576120785957e-13       0.000000000000e+00       3.496273453778e-11       4.022659139115e-12      -1.083243714486e-14 
   61       2.227722137499e-10       2.956795135018e-14      -3.008814804906e-13       0.000000000000e+00       3.366422799649e-11       3.891966220818e-12      -1.104849475206e-14 
   62       2.257950704025e-10       3.103971213800e-14      -3.459520221121e-13       0.000000000000e+00       3.242507725175e-11       3.767533034748e-12      -1.116187965323e-14 
   63       2.288451910656e-10       3.254902237215e-14      -3.928129298033e-13       0.000000000000e+00       3.124534414551e-11       3.649291400611e-12      -1.118327650120e-14 
   64       2.319241020675e-10       3.409499172240e-14      -4.414507327866e-13       0.000000000000e+00       3.012373465551e-11       3.537020363174e-12      -1.112566914709e-14 
   65       2.350326848767e-10       3.567661581589e-14      -4.918492314780e-13       0.000000000000e+00       2.905752171197e-11       3.430337653415e-12      -1.100444234335e-14 
