# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.04829e-05 to 66.9325 h/Mpc,
# number of wavenumbers equal to 621
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                
       1.048294959306e-05      -1.316851348798e-03      -9.881563408944e-04      -9.881563633765e-04      -1.316836511488e-03      -9.879274832459e-04      -9.882384077556e-04       4.728042195772e-01       4.726784585482e-01 
       2.340909221291e-05      -6.552832158754e-03      -4.927487991253e-03      -4.927488550081e-03      -6.552463811963e-03      -4.926308857278e-03      -4.927893936766e-03       4.728010089019e-01       4.726756275918e-01 
       3.638100117708e-05      -1.576877617687e-02      -1.190150078396e-02      -1.190150404185e-02      -1.576663346000e-02      -1.189849063259e-02      -1.190246726804e-02       4.727952927007e-01       4.726705815238e-01 
       4.943382439187e-05      -2.895805245683e-02      -2.197329080964e-02      -2.197330190409e-02      -2.895077866637e-02      -2.196730095490e-02      -2.197503800132e-02       4.727870578762e-01       4.726633097970e-01 
       6.260329507525e-05      -4.611556976917e-02      -3.523980467846e-02      -3.523983317754e-02      -4.609696281527e-02      -3.522928524926e-02      -3.524252863714e-02       4.727762288912e-01       4.726537409340e-01 
       7.592605261090e-05      -6.723495610783e-02      -5.183358887711e-02      -5.183365043669e-02      -6.719497347988e-02      -5.181643628057e-02      -5.183745285388e-02       4.727627093051e-01       4.726417840464e-01 
       8.943997372945e-05      -9.230471528112e-02      -7.192527234116e-02      -7.192539064457e-02      -9.222836264025e-02      -7.189864940598e-02      -7.193039658574e-02       4.727463918672e-01       4.726273388460e-01 
       1.031845184502e-04      -1.213031752793e-01      -9.572684107282e-02      -9.572705015235e-02      -1.211692462471e-01      -9.568696022486e-02      -9.573329067773e-02       4.727271228642e-01       4.726102598923e-01 
       1.172010952503e-04      -1.541920159470e-01      -1.234958053510e-01      -1.234961524021e-01      -1.539716507743e-01      -1.234376629029e-01      -1.235035755850e-01       4.727047273126e-01       4.725903816236e-01 
       1.315334499627e-04      -1.909080882288e-01      -1.555403645290e-01      -1.555409133655e-01      -1.905631175709e-01      -1.554574111238e-01      -1.555493630305e-01       4.726789951143e-01       4.725675043330e-01 
       1.462280829078e-04      -2.313532111817e-01      -1.922257200427e-01      -1.922265553723e-01      -2.308342497764e-01      -1.921094482009e-01      -1.922357451322e-01       4.726496836913e-01       4.725413965318e-01 
       1.613346987010e-04      -2.753815590796e-01      -2.339817071530e-01      -2.339829398751e-01      -2.746258328051e-01      -2.338211314274e-01      -2.339924213821e-01       4.726165082493e-01       4.725117848410e-01 
       1.769066929887e-04      -3.227843062683e-01      -2.813119666413e-01      -2.813137405103e-01      -3.217131591930e-01      -2.810929647618e-01      -2.813228646347e-01       4.725791436625e-01       4.724783554125e-01 
       1.930016799764e-04      -3.732710348234e-01      -3.348049042418e-01      -3.348074041009e-01      -3.717871867085e-01      -3.345093779151e-01      -3.348152735554e-01       4.725372144759e-01       4.724407432428e-01 
       2.096820639236e-04      -4.264478040476e-01      -3.951467513894e-01      -3.951502136597e-01      -4.244322683560e-01      -3.947515530916e-01      -3.951556253333e-01       4.724902949756e-01       4.723985314328e-01 
       2.270156566478e-04      -4.817914819055e-01      -4.631370719761e-01      -4.631417976526e-01      -4.791003567159e-01      -4.626126269256e-01      -4.631431727501e-01       4.724378977162e-01       4.723512385681e-01 
       2.450763413394e-04      -5.386208219243e-01      -5.397071426842e-01      -5.397135137843e-01      -5.350819799060e-01      -5.390156732093e-01      -5.397088136529e-01       4.723794726108e-01       4.722983164041e-01 
       2.639447803977e-04      -5.960648722912e-01      -6.259416635129e-01      -6.259501637502e-01      -5.914748614126e-01      -6.250348934061e-01      -6.259367892262e-01       4.723143957069e-01       4.722391368345e-01 
       2.837091612809e-04      -6.530305351471e-01      -7.231043413560e-01      -7.231155820902e-01      -6.471520744410e-01      -7.219205183982e-01      -7.230902543042e-01       4.722419642469e-01       4.721729847143e-01 
       3.044659691716e-04      -7.081723616173e-01      -8.326679161851e-01      -8.326826689978e-01      -7.007330886045e-01      -8.311279391272e-01      -8.326412899523e-01       4.721613881549e-01       4.720990466279e-01 
       3.263207682009e-04      -7.598697893801e-01      -9.563492441768e-01      -9.563684814204e-01      -7.505632328777e-01      -9.543516113155e-01      -9.563059735298e-01       4.720717826009e-01       4.720164002434e-01 
       3.493889636292e-04      -8.062201776100e-01      -1.096150041546e+00      -1.096174987424e+00      -7.947100506980e-01      -1.093564248172e+00      -1.096085112573e+00       4.719721594702e-01       4.719240021265e-01 
       3.737965053683e-04      -8.450588538236e-01      -1.254403852675e+00      -1.254436046046e+00      -8.309887869480e-01      -1.251061743892e+00      -1.254311207177e+00       4.718614223740e-01       4.718206788088e-01 
       3.996804782897e-04      -8.740228483002e-01      -1.433829636729e+00      -1.433871008732e+00      -8.570335533307e-01      -1.429514069124e+00      -1.433702040075e+00       4.717383565019e-01       4.717051127403e-01 
       4.271895069629e-04      -8.906779671782e-01      -1.637592161395e+00      -1.637645129609e+00      -8.704348692992e-01      -1.632022126941e+00      -1.637421085993e+00       4.716016263158e-01       4.715758366953e-01 
       4.564838823876e-04      -8.927326854011e-01      -1.869368912881e+00      -1.869436496215e+00      -8.689662657634e-01      -1.862180027575e+00      -1.869144456327e+00       4.714497697867e-01       4.714312262300e-01 
       4.877352974213e-04      -8.783571209376e-01      -2.133422637785e+00      -2.133508589316e+00      -8.509196276064e-01      -2.124141579558e+00      -2.133133492394e+00       4.712811934419e-01       4.712694957954e-01 
       5.211260587113e-04      -8.466181060530e-01      -2.434677740750e+00      -2.434786705927e+00      -8.155554869929e-01      -2.422688851067e+00      -2.434311240937e+00       4.710941724559e-01       4.710887043943e-01 
       5.568476304066e-04      -7.980053879698e-01      -2.778797541548e+00      -2.778935227961e+00      -7.636439779270e-01      -2.763299346112e+00      -2.778339790145e+00       4.708868422503e-01       4.708867593019e-01 
       5.950983649866e-04      -7.349827783545e-01      -3.172258017460e+00      -3.172431388678e+00      -6.980180549002e-01      -3.152206960081e+00      -3.171694095455e+00       4.706571940147e-01       4.706614319959e-01 
       6.360802969340e-04      -6.624088161756e-01      -3.622412025303e+00      -3.622629487237e+00      -6.239807959006e-01      -3.596450168279e+00      -3.621726212109e+00       4.704030655408e-01       4.704103786718e-01 
